slug,merchant,category,image_mode,image_source,feed_source,local_target_asset,local_target_exists,remote_src,recommended_action
aktin-balanced-preworkout,Aktin,pre-workout,placeholder,merchant,dognet-ready,img/products/aktin/aktin-balanced-preworkout/main.webp,no,,source-real-packshot-and-save-to-target-path
aktin-creatine-monohydrate,Aktin,kreatin,placeholder,merchant,dognet-ready,img/products/aktin/aktin-creatine-monohydrate/main.webp,no,,source-real-packshot-and-save-to-target-path
aktin-magnesium-bisglycinate,Aktin,mineraly,placeholder,merchant,dognet-ready,img/products/aktin/aktin-magnesium-bisglycinate/main.webp,no,,source-real-packshot-and-save-to-target-path
aktin-probiotics-multistrain,Aktin,probiotika-travenie,placeholder,merchant,dognet-ready,img/products/aktin/aktin-probiotics-multistrain/main.webp,no,,source-real-packshot-and-save-to-target-path
aktin-whey-isolate-cut,Aktin,proteiny,placeholder,merchant,dognet-ready,img/products/aktin/aktin-whey-isolate-cut/main.webp,no,,source-real-packshot-and-save-to-target-path
gymbeam-creatine-monohydrate,GymBeam,kreatin,placeholder,merchant,dognet-ready,img/products/gymbeam/gymbeam-creatine-monohydrate/main.webp,no,,source-real-packshot-and-save-to-target-path
gymbeam-creatine-monohydrate-real,GymBeam,kreatin,remote,merchant-feed,gymbeam-heureka-xml,img/products/gymbeam/gymbeam-creatine-monohydrate-real/main.webp,no,https://gymbeam.sk/media/catalog/product/cache/bf5a31e851f50f3ed6850cbbf183db11/c/r/creatine_monohydrate_unflavoured_250_g_gymbeam.png,mirror-merchant-packshot-to-local-webp
gymbeam-enjoy-pre-workout,GymBeam,pre-workout,remote,merchant-feed,gymbeam-heureka-xml,img/products/gymbeam/gymbeam-enjoy-pre-workout/main.webp,no,https://gymbeam.sk/media/catalog/product/cache/bf5a31e851f50f3ed6850cbbf183db11/e/n/enjoy_preworkout_dragon_fruit_312_g_gymbeam.png,mirror-merchant-packshot-to-local-webp
gymbeam-high-stim-preworkout,GymBeam,pre-workout,placeholder,merchant,dognet-ready,img/products/gymbeam/gymbeam-high-stim-preworkout/main.webp,no,,source-real-packshot-and-save-to-target-path
gymbeam-just-whey,GymBeam,proteiny,remote,merchant-feed,gymbeam-heureka-xml,img/products/gymbeam/gymbeam-just-whey/main.webp,no,https://gymbeam.sk/media/catalog/product/cache/bf5a31e851f50f3ed6850cbbf183db11/j/u/just_whey_vanilla_icecream_1_kg_gymbeam_1.png,mirror-merchant-packshot-to-local-webp
